name,category,latitude,longitude,distance_from_center_km
Franprix,shop,48.8517196,2.3636847,0.3912123501682023
Grand hôtel amelot,tourism,48.8592591,2.3683806,0.5172663772519099
Canauxrama,tourism,48.8508544,2.3681264,0.51126296701315
Season Amelot,amenity,48.8594272,2.3680966,0.5257919970049837
Caffé créole,amenity,48.8579071,2.3682718,0.3826572525651354
Il Seguito,amenity,48.857608,2.3683587,0.35958880268308663
BBQ coréen,amenity,48.8573215,2.3684274,0.3384791472262169
Carrefour City,shop,48.8550264,2.3607135,0.33888537601064833
Pharmacie Meyer Pointsot,amenity,48.8569223,2.3642921,0.2201157524462168
Habanos,amenity,48.8569457,2.3713287,0.487261499704962
Pharmacie Centrale Bastille,amenity,48.8565002,2.3711111,0.4531680313170308
Hôtel marais bastille,tourism,48.8573297,2.3715214,0.5193754535505762
AlterSmoke,shop,48.8564073,2.3686442,0.2852639902951548
,amenity,48.8507738,2.3622968,0.5266583150500508
,amenity,48.8529574,2.3648321,0.2372780581536361
,amenity,48.8509042,2.3622453,0.5152034290359173
L'Éclair de Génie,shop,48.8561918,2.3606586,0.3650430287184174
LCL,amenity,48.8558336,2.3592211,0.45643586058528635
Kiloutou,shop,48.8555518,2.3706841,0.396527069145454
Cogeferm,shop,48.8555081,2.3697295,0.3265014803439883
CIC,amenity,48.8528913,2.3706887,0.4615659065153895
,amenity,48.8540626,2.3612455,0.3198920415799107
Les Chimères,amenity,48.8552078,2.3599058,0.3984433083502994
Le Saint-Paul,amenity,48.8551626,2.3601693,0.3789463620452756
BRED,amenity,48.8551239,2.3603471,0.36580264010129776
Pharmacie du Marais,amenity,48.8550979,2.3604486,0.3583147346578638
Aux Délices d'Asie,amenity,48.8550812,2.360534,0.35203402623858293
Boucherie Saint Paul,shop,48.854996,2.360901,0.32518995745353374
,shop,48.8549692,2.3610193,0.31659804081301895
L'Atelier du Chocolat,shop,48.8549527,2.361106,0.3103081784215855
Pylones,shop,48.8549384,2.3611718,0.30555299981870504
Imperial House,amenity,48.8549034,2.3613197,0.2949239589815382
Verger Saint- Paul,shop,48.8547862,2.3618302,0.2587810467473813
Laurent Dubois,shop,48.8547642,2.3619104,0.2532512993116409
Nysa,shop,48.8547434,2.3620033,0.24682061369992353
Comtesse du Barry,shop,48.854719,2.3621208,0.23871556324502285
Pépite,shop,48.8546474,2.3623612,0.22284810853084386
5àsec,shop,48.8546316,2.3624095,0.21976203773618766
Au Nom de la Rose,shop,48.8546141,2.362459,0.21666228243183927
Koutchi,shop,48.8550835,2.3594569,0.4310760857989566
Galerie Pamyr,shop,48.8548916,2.3592892,0.4438003103302839
Galerie binôme,shop,48.8542417,2.3597726,0.4180686499878528
"Artistes Coiffeurs, Coloristes",shop,48.8544631,2.3626372,0.20873220128857875
La maison du Marais,shop,48.8544993,2.3624856,0.21810164943466465
Subway,amenity,48.8544579,2.3624454,0.22228377131825242
