name,category,latitude,longitude,distance_from_center_km
Catho,shop,55.6764446,12.5719733,0.17785984322332182
Det Lille Teater,amenity,55.676293,12.571997,0.19307404464591374
Det Tredje Øje,shop,55.6763359,12.5712565,0.2094557148305154
Lust,shop,55.6767351,12.5709776,0.1854484653941891
Undergrunden,shop,55.6768953,12.5717605,0.14004648790858987
Centralhjørnet,amenity,55.6767102,12.5721156,0.14712952268663576
Day Birger et Mikkelsen,shop,55.6801702,12.5809584,0.5572264755496673
Marlboro,shop,55.6803256,12.5807756,0.5551009484350674
Davidoff,shop,55.6801823,12.5805817,0.5367867051225377
,amenity,55.6802827,12.5808532,0.5571157244541792
,amenity,55.679843,12.580824,0.5340928675549713
Nag Classic,shop,55.679935,12.579749,0.47760903148136274
Marianne Dulong,shop,55.6799797,12.5799,0.48833263441262614
Stræk Og Bøj,shop,55.6800074,12.5799713,0.4937407016435512
Victoria's,shop,55.680096,12.580319,0.5176858921393591
Tekinoktay,shop,55.6800543,12.580178,0.5076744707559483
Hardware,shop,55.6802728,12.5805255,0.5384876106012826
Marc O'Polo,shop,55.680454,12.5807032,0.5581916952218858
Synne Coiffure,shop,55.6804321,12.580418,0.5415177225382616
42 Raw Pilestræde,amenity,55.6806747,12.5805375,0.5622194072241079
Whyred,shop,55.6806574,12.5802443,0.5457689695937735
Norr,shop,55.6808818,12.5803684,0.5664198304434015
Margit Brandt,shop,55.6810201,12.5802681,0.5704706025728687
Just Female,shop,55.6810639,12.5809277,0.6068454466726508
Wessels Kro,amenity,55.681166,12.580734,0.6036563972269722
Emporio Rix,shop,55.6811872,12.5808033,0.60856225088709
Tiger of Sweden,shop,55.6816551,12.5808011,0.6409258551099215
Humac,shop,55.681811,12.5804369,0.635353142324612
Ina Hair Design,shop,55.6815271,12.5804894,0.6167607667019895
Sikkim,shop,55.6814632,12.5806326,0.6190765876487246
Zarah Voigt,shop,55.6813936,12.5807507,0.6199653113323221
Lala Berlin,shop,55.6813596,12.5808485,0.6224547893538666
Skipper Stoffer,shop,55.681288,12.580886,0.6194644648198278
Bien Cache,shop,55.6816673,12.5801499,0.611237952599028
Rodian & Rodian,shop,55.6816041,12.5802824,0.6126314054514486
,shop,55.68154,12.5804327,0.6149956780713343
Mano Motus,shop,55.6817126,12.5800506,0.6101604712426749
Galerie Edeling,shop,55.681758,12.5799407,0.6087192446139851
R Vinbar,amenity,55.6819319,12.5801525,0.6318110396112363
,amenity,55.6818043,12.5802477,0.6261780031140864
,amenity,55.6820136,12.5798763,0.6262176692614642
,amenity,55.6818581,12.5798339,0.6118778039322847
,amenity,55.6819894,12.579482,0.6074487225855795
Henrik Vibskov Boutique,shop,55.6820121,12.5800426,0.6333239363208184
Sakura,amenity,55.6821031,12.5801549,0.6455205443709136
